Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
bendrasis duomenu apsaugos reglamentas bdar, Advance Learning - Human Resources (HR),815,https://alison.com/course/bendrasis-duomenu-apsaugos-reglamentas-bdar#l-main-pub,"Paai?kinkite Bendrojo duomenu apsaugos reglamento (BDAR),  Apibudinkite, ka organizacijos gali padaryti, kad pasire,  Paai?kinkite duomenu apsaugos pareiguno (DPO)", Certification course,business
internal auditing information security management systems isms, Exoexcellence Consultants,581,https://alison.com/course/internal-auditing-information-security-management-systems-isms#l-main-pub,"Recognize the significant considerations regarding audit,  Identify the main challenges associated with ,  Explain the concept of making an assurance map", Certification course,Information Technology
anti money laundering and customer verification training, Training Facility UK,"7,710",https://alison.com/course/anti-money-laundering-and-customer-verification-training#l-main-pub,"Define money laundering and give a brief overview of Ant,  Explain the consequence of the violation of the legal re,  List the steps of a standard anti-money laund", Certification course,business
comptia cloud advanced, Workforce Academy Partnership,"23,385",https://alison.com/course/comptia-cloud-advanced#l-main-pub,"Define testing and tools,  Describe security measures,  Discuss the use of cloud controls", Certification course,Information Technology
itil 4 fundamentals essentials of it service management, Exoexcellence Consultants,"83,244",https://alison.com/course/itil-4-fundamentals-essentials-of-it-service-management#l-main-pub,"Define the term ?ITIL framework? and describe the ITIL 4,  Define ?service management? and ?value co-creation? in t,  Explain how products, services, utility, warr", Certification course,Information Technology
comptia a 1000 part 2, Workforce Academy Partnership,"91,756",https://alison.com/course/comptia-a-1000-part-2#l-main-pub,"Outline procedures for preventive maintenance,  List and order necessary troubleshooting procedures,  Distinguish between major operating systems", Certification course,Information Technology
business intelligence and knowledge management systems revised, Global Text Project,"29,863",https://alison.com/course/business-intelligence-and-knowledge-management-systems-revised#l-main-pub,"Describe the process known as ""decision-making"",  List the three steps in decision-making,  Describe the functions of neural networks", Certification course,business
comptia a 1000 part 1, Workforce Academy Partnership,"1,67,409",https://alison.com/course/comptia-a-1000-part-1#l-main-pub,"Compare types of memory,  Understand hard drives and other storage devices,  Identify power supplies and voltage", Certification course,Information Technology
iso iec 27001 dynamics of information security management system isms, Exoexcellence Consultants,"46,092",https://alison.com/course/iso-iec-27001-dynamics-of-information-security-management-system-isms#l-main-pub,"Demonstrate the business case for information security m,  Define the important terms in ISO 27000:2018,  List the main clauses of the standard", Certification course,business
document control from principles to practice, Training Facility UK,"14,150",https://alison.com/course/document-control-from-principles-to-practice#l-main-pub,"Describe the document control challenges that,  Outline the importance of document control system,  Explain the practice of document numbering", Certification course,Information Technology
computer networking local area networks and the osi model revised, Channel 9,"66,686",https://alison.com/course/computer-networking-local-area-networks-and-the-osi-model-revised#l-main-pub,"Explain how Hubs, Switches and Routers functi,  Define what Local Area Network (LAN) means,  Describe the key devices found on a LAN", Certification course,Information Technology
comptia cloud basic, Workforce Academy Partnership,"36,239",https://alison.com/course/comptia-cloud-basic#l-main-pub,"Distinguish between cloud service models,  Explain cloud delivery models,  Identify data storage technologies", Certification course,Information Technology
comptia cloud intermediate, Workforce Academy Partnership,"16,702",https://alison.com/course/comptia-cloud-intermediate#l-main-pub,"Explain the process of creating and configuring virtual ,  Compute the process for best optimizing perfo,  Outline configuring virtualization hosts,  Evaluate remote access administration", Certification course,Information Technology
iso 20000 principles of it service management system itsm, Exoexcellence Consultants,"16,877",https://alison.com/course/iso-20000-principles-of-it-service-management-system-itsm#l-main-pub,"State the purpose of ISO/IEC 20000 Standard,  List and outline the contents of the standard's series,  Describe a Service Management System (SMS)", Certification course,business
data protection officer training, Academy Of Skills,"6,237",https://alison.com/course/data-protection-officer-training#l-main-pub,"Identify the key principles of the data protection laws ,  Describe how to carry out data protection impact assessm,  Identify the different steps involved in performing data", Certification course,Information Technology
cybersecurity incident response planning and management, Exoexcellence Consultants,"6,060",https://alison.com/course/cybersecurity-incident-response-planning-and-management#l-main-pub,"Define the fundamental outlook of a Cyber Incident Respo,  Recall and explain the five main components of a Cyber I,  Identify the main actions that must be undert", Certification course,Information Technology
utilization of display screen equipment, Course Gate,"1,081",https://alison.com/course/utilization-of-display-screen-equipment#l-main-pub,"Recognise the roles and responsibilities of a DSE assess,  Outline the duties of employers and employees,  Explain how homeworkers can reduce DSE-related risks", Certification course,personal-development
comptia security sy0 601, Adams Academy,"12,724",https://alison.com/course/comptia-security-sy0-601#l-main-pub,"Explain what ?vulnerabilities? are with regards to a net,  State the importance of authentication and authorization,  Discuss physical security controls that can b,  Differentiate between a ?threat? and an ?attack?", Certification course,Information Technology
information management strategy and data protection, Edukators London Ltd.,"5,013",https://alison.com/course/information-management-strategy-and-data-protection#l-main-pub,"List the three terms used to measure the importance of i,  Define ?information?, ?database? and ?record management?,  Discuss information management", Certification course,Information Technology
demystifying pci dss a beginner s guide to certification, Exoexcellence Consultants,"1,528",https://alison.com/course/demystifying-pci-dss-a-beginner-s-guide-to-certification#l-main-pub,"Recognize the compliance levels, goals, and requirements,  Describe the requirements of each of the six steps requi,  Outline various certifications and trainings ", Certification course,business
artificial intelligence in human resource management, Proactive Ideas,"2,846",https://alison.com/course/artificial-intelligence-in-human-resource-management#l-main-pub,"Apply AI for efficient and unbiased talent recruitment t,  Plan for occupational transitions through upskilling pro,  Assess the power of conversational AI and vir", Certification course,Information Technology
project management fundamentals apm pfq prince2 and agilepm overview, SkillSolve Training,"2,704",https://alison.com/course/project-management-fundamentals-apm-pfq-prince2-and-agilepm-overview#l-main-pub,"Indicate how projects are organised, planned and control,  Recognise the need for teamwork and leadership for the e,  Explain the PRINCE2 framework, principles, th", Certification course,business
introduction to information and management systems, Professional Academy,"15,246",https://alison.com/course/introduction-to-information-and-management-systems#l-main-pub,"Outline the basic history of information syst,  Define an ?information system?,  Identify its components and their role", Certification course,business
foundations of video gaming, Gamers' Vault,140,https://alison.com/course/foundations-of-video-gaming#l-main-pub,"Discuss the early innovations and technologies that pave,  Identify the key milestones and pioneers in the creation,  Analyze the transition from arcade to home gaming, focus", Certification course,education
cyber security understand threats and prevent attacks, Crafty E-learning,"79,724",https://alison.com/course/cyber-security-understand-threats-and-prevent-attacks#l-main-pub,"Classify different types of security breach a,  Outline cyber security fundamentals,  Compare various types of malware", Certification course,Information Technology
introduction to cctv systems and autocad layouts, Er Sadiq Hussain,"48,728",https://alison.com/course/introduction-to-cctv-systems-and-autocad-layouts#l-main-pub,"Classify the components of the security syste,  Define the CCTV security system,  Analyze the basic and essential purposes of CCTV", Certification course,Information Technology
working as an it support technician, John Academy,"11,207",https://alison.com/course/working-as-an-it-support-technician#l-main-pub,"Explain how to configure secure and efficient computer n,  Recall the skills required for the professional developm,  Identify various software and hardware-relate", Certification course,Information Technology
fundamentals of certified data management professional cdmp, Digital Partner,"1,175",https://alison.com/course/fundamentals-of-certified-data-management-professional-cdmp#l-main-pub,"Identify the entities that need data warehousing the mos,  Describe the profession of data management and practices,  Indicate the three-pronged strategy to implem", Certification course,Information Technology
artificial intelligence in project management, Proactive Ideas,"2,151",https://alison.com/course/artificial-intelligence-in-project-management#l-main-pub,"Analyse the impact of Artificial Intelligence (AI) on pr,  Discuss emerging trends and ethical considerations in AI,  Assess the scalability and sustainability of ", Certification course,Information Technology
